"yesterday","today","Cambio","Región","País","Casos totales","Movilidad diario ult. semana","Movilidad diario ult. semana ayer"
125,123,2,NA,"Ecuador","62,380.0","-37 %","-37 %"
131,124,7,"Cuscatlán","El Salvador","137.0","-37 %","-36 %"
126,125,1,"Tabasco","México","10,221.0","-37 %","-37 %"
127,126,1,"Mendoza","Argentina","180.0","-36 %","-36 %"
122,127,-5,"Rio Grande del Norte","Brasil","29,721.0","-36 %","-37 %"
129,128,1,"Antioquia","Colombia","5,675.0","-36 %","-36 %"
124,129,-5,"Cotopaxi","Ecuador","1,236.0","-36 %","-37 %"
130,130,0,"Santa Elena","Ecuador","952.0","-36 %","-36 %"
128,131,-3,"Alagoas","Brasil","35,117.0","-35 %","-36 %"
135,132,3,"Bahia","Brasil","69,467.0","-35 %","-35 %"
137,133,4,"Espírito Santo","Brasil","45,097.0","-35 %","-35 %"
132,134,-2,"Sinaloa","México","7,895.0","-35 %","-36 %"
133,135,-2,"Sonora","México","7,064.0","-35 %","-36 %"
134,136,-2,"Distrito Nacional","República Dominicana","3,828.0","-35 %","-36 %"
136,137,-1,"Ceará","Brasil","108,225.0","-34 %","-35 %"
138,138,0,"Sergipe","Brasil","24,817.0","-34 %","-35 %"
141,139,2,"El Oro","Ecuador","2,173.0","-34 %","-34 %"
142,140,2,"Baja California Sur","México","1,437.0","-34 %","-34 %"
143,141,2,"Huancavelica","Perú","958.0","-34 %","-34 %"
139,142,-3,"Puerto Plata","República Dominicana","343.0","-34 %","-35 %"
140,143,-3,"Paraíba","Brasil","45,057.0","-33 %","-34 %"
144,144,0,"Rio Grande del Sur","Brasil","25,659.0","-33 %","-33 %"
147,145,2,"Santo Domingo de los Tsáchilas","Ecuador","2,294.0","-33 %","-33 %"
148,146,2,"Valle","Honduras","232.0","-33 %","-33 %"
150,147,3,"Rio de Janeiro","Brasil","111,883.0","-32 %","-32 %"
153,148,5,"Valle del Cauca","Colombia","11,677.0","-32 %","-32 %"
145,149,-4,"Cañar","Ecuador","559.0","-32 %","-33 %"
146,150,-4,"Guayas","Ecuador","16,104.0","-32 %","-33 %"
154,151,3,"Los Ríos","Ecuador","2,417.0","-32 %","-32 %"
155,152,3,"Colón","Honduras","117.0","-32 %","-32 %"
157,153,4,"Nayarit","México","1,657.0","-32 %","-32 %"
149,154,-5,NA,"México","261,750.0","-32 %","-33 %"
151,155,-4,"Cauca","Colombia","507.0","-31 %","-32 %"
152,156,-4,"Huila","Colombia","374.0","-31 %","-32 %"
156,157,-1,"Hidalgo","México","3,762.0","-31 %","-32 %"
158,158,0,"Puebla","México","9,934.0","-31 %","-32 %"
163,159,4,"Veracruz","México","9,812.0","-31 %","-31 %"
166,160,6,"Paraná","Brasil","21,326.0","-30 %","-30 %"
160,161,-1,"São Paulo","Brasil","275,145.0","-30 %","-31 %"
161,162,-1,"Meta","Colombia","1,333.0","-30 %","-31 %"
167,163,4,"Estado de México","México","33,480.0","-30 %","-30 %"
162,164,-2,"Morelos","México","2,829.0","-30 %","-31 %"
168,165,3,"Nuevo León","México","5,090.0","-30 %","-30 %"
164,166,-2,"La Romana","República Dominicana","447.0","-30 %","-31 %"
165,167,-2,NA,"República Dominicana","38,128.0","-30 %","-31 %"
170,168,2,NA,"Uruguay","955.0","-30 %","-30 %"
159,169,-10,NA,"Venezuela","7,411.0","-30 %","-32 %"
171,170,1,"Santa Fe","Argentina","434.0","-29 %","-29 %"
169,171,-2,"Tamaulipas","México","5,712.0","-29 %","-30 %"
172,172,0,NA,"Brasil","1,623,284.0","-28 %","-29 %"
174,173,1,"El Paraíso","Honduras","116.0","-28 %","-28 %"
173,174,-1,"Acre","Brasil","13,146.0","-27 %","-28 %"
178,175,3,"Mato Grosso","Brasil","15,086.0","-27 %","-27 %"
179,176,3,"Guanajuato","México","6,785.0","-27 %","-27 %"
180,177,3,"Tlaxcala","México","2,369.0","-27 %","-27 %"
175,178,-3,NA,"Paraguay","2,427.0","-27 %","-28 %"
177,179,-2,"Santiago","República Dominicana","1,352.0","-27 %","-28 %"
187,180,7,"Zacatecas","México","842.0","-26 %","-26 %"
181,181,0,NA,"Nicaragua","2,519.0","-26 %","-27 %"
176,182,-6,"San Pedro de Macorí­s","República Dominicana","126.0","-26 %","-28 %"
182,183,-1,"Santo Domingo","República Dominicana","3,698.0","-26 %","-27 %"
183,184,-1,"Amapá","Brasil","28,253.0","-25 %","-26 %"
184,185,-1,"Pernambuco","Brasil","58,476.0","-25 %","-26 %"
185,186,-1,"Aguascalientes","México","2,219.0","-25 %","-26 %"
186,187,-1,"Baja California","México","8,722.0","-25 %","-26 %"
191,188,3,"Jalisco","México","6,386.0","-25 %","-25 %"
188,189,-1,"Caaguazú","Paraguay","190.0","-25 %","-26 %"
189,190,-1,"Distrito Federal","Brasil","47,071.0","-24 %","-25 %"
190,191,-1,"Roraima","Brasil","14,459.0","-24 %","-25 %"
194,192,2,"Chihuahua","México","2,958.0","-24 %","-24 %"
195,193,2,"Coahuila","México","3,999.0","-24 %","-24 %"
192,194,-2,"Querétaro","México","1,893.0","-24 %","-25 %"
193,195,-2,"Carchi","Ecuador","365.0","-23 %","-24 %"
199,196,3,"Colima","México","529.0","-23 %","-23 %"
196,197,-1,"Central","Paraguay","144.0","-23 %","-24 %"
197,198,-1,"La Vega","República Dominicana","858.0","-23 %","-24 %"
198,199,-1,"María Trinidad Sánchez","República Dominicana","126.0","-23 %","-24 %"
200,200,0,"Durango","México","1,736.0","-22 %","-23 %"
201,201,0,"San Luis Potosí","México","2,980.0","-22 %","-23 %"
202,202,0,"Monseñor Nouel","República Dominicana","324.0","-22 %","-23 %"
204,203,1,"Michoacán","México","5,506.0","-21 %","-21 %"
205,204,1,"San Cristóbal","República Dominicana","805.0","-21 %","-21 %"
206,205,1,"Minas Gerais","Brasil","43,864.0","-20 %","-20 %"
203,206,-3,NA,"Puerto Rico","7,687.0","-20 %","-22 %"
207,207,0,"Duarte","República Dominicana","774.0","-19 %","-20 %"
208,208,0,"Mato Grosso del Sur","Brasil","7,676.0","-18 %","-19 %"
209,209,0,"Azua","República Dominicana","180.0","-18 %","-18 %"
211,210,1,"Sánchez Ramírez","República Dominicana","248.0","-17 %","-18 %"
214,211,3,"Goiás","Brasil","23,007.0","-16 %","-16 %"
215,212,3,"Rondônia","Brasil","20,406.0","-16 %","-16 %"
210,213,-3,"Espaillat","República Dominicana","529.0","-16 %","-18 %"
212,214,-2,"Peravia","República Dominicana","101.0","-16 %","-17 %"
213,215,-2,"San Juan","República Dominicana","114.0","-16 %","-17 %"
216,216,0,"Maranhão","Brasil","78,969.0","-13 %","-14 %"
217,217,0,"Tocantins","Brasil","10,359.0","-13 %","-14 %"
218,218,0,"Pará","Brasil","101,207.0","-10 %","-12 %"
219,219,0,"Amazonas","Brasil","69,893.0","-3 %","-4 %"
