"yesterday","today","Cambio","Región","País","Casos totales","Prom. aumento diario ult. semana","Prom. aumento diario ult. semana ayer"
31,48,-17,"Goiás","Brasil","33,876.0","-19 %","-19 %"
55,49,6,"Ñuble","Chile","2,782.0","-19 %","-14 %"
93,50,43,"Yucatán","México","5,697.0","-19 %","-1 %"
82,51,31,"Araucanía","Chile","3,538.0","-18 %","-5 %"
29,52,-23,"Metropolitana de Santiago","Chile","233,845.0","-18 %","-21 %"
34,53,-19,"La Libertad","El Salvador","1,071.0","-18 %","-18 %"
35,54,-19,"Atlántida","Honduras","969.0","-18 %","-18 %"
163,55,108,"Querétaro","México","2,343.0","-18 %","32 %"
154,56,98,"Sinaloa","México","9,526.0","-18 %","20 %"
136,57,79,"Tabasco","México","13,999.0","-18 %","9 %"
127,58,69,"Tamaulipas","México","8,013.0","-18 %","4 %"
33,59,-26,"Valparaíso","Chile","14,053.0","-17 %","-18 %"
36,60,-24,"Atlántico","Colombia","31,887.0","-17 %","-17 %"
39,61,-22,"Amazonas","Brasil","82,507.0","-16 %","-16 %"
27,62,-35,"Atacama","Chile","1,467.0","-16 %","-21 %"
134,63,71,"Veracruz","México","13,293.0","-16 %","7 %"
40,64,-24,"Bio-Bio","Chile","8,151.0","-15 %","-16 %"
37,65,-28,"Cotopaxi","Ecuador","1,444.0","-15 %","-17 %"
41,66,-25,"Orellana","Ecuador","918.0","-15 %","-16 %"
43,67,-24,"El Paraíso","Honduras","262.0","-15 %","-15 %"
95,68,27,"Chuquisaca","Bolivia","1,099.0","-14 %","0 %"
138,69,69,"Oruro","Bolivia","1,546.0","-14 %","10 %"
184,70,114,"Pando","Bolivia","1,026.0","-14 %","95 %"
130,71,59,"Santa Cruz","Bolivia","23,411.0","-14 %","6 %"
142,72,70,"Tarija","Bolivia","1,214.0","-14 %","12 %"
45,73,-28,"Alagoas","Brasil","43,191.0","-14 %","-14 %"
46,74,-28,"Bahia","Brasil","101,186.0","-14 %","-14 %"
47,75,-28,"Ceará","Brasil","131,000.0","-14 %","-14 %"
48,76,-28,"Maranhão","Brasil","96,718.0","-14 %","-14 %"
49,77,-28,"Mato Grosso","Brasil","25,264.0","-14 %","-14 %"
50,78,-28,"Pará","Brasil","122,674.0","-14 %","-14 %"
51,79,-28,"Paraíba","Brasil","57,614.0","-14 %","-14 %"
52,80,-28,"Pernambuco","Brasil","70,100.0","-14 %","-14 %"
53,81,-28,"Rondônia","Brasil","26,000.0","-14 %","-14 %"
54,82,-28,"Sergipe","Brasil","34,713.0","-14 %","-14 %"
56,83,-27,"Ahuachapán","El Salvador","386.0","-14 %","-14 %"
57,84,-27,"La Paz","El Salvador","376.0","-14 %","-14 %"
58,85,-27,"San Salvador","El Salvador","4,142.0","-14 %","-14 %"
59,86,-27,"Colón","Honduras","274.0","-14 %","-14 %"
60,87,-27,"Yoro","Honduras","1,076.0","-14 %","-14 %"
128,88,40,"Nayarit","México","2,141.0","-14 %","5 %"
61,89,-28,"Central","Paraguay","360.0","-14 %","-14 %"
30,90,-60,"Beni","Bolivia","4,435.0","-13 %","-19 %"
110,91,19,"Potosí","Bolivia","831.0","-13 %","1 %"
113,92,21,"Los Lagos","Chile","2,099.0","-13 %","2 %"
28,93,-65,"Los Ríos","Chile","753.0","-13 %","-21 %"
42,94,-52,"Bolívar","Colombia","11,732.0","-13 %","-15 %"
65,95,-30,"Meta","Colombia","1,432.0","-13 %","-12 %"
141,96,45,"Ciudad de México","México","53,423.0","-13 %","11 %"
69,97,-28,"San Miguel","El Salvador","698.0","-11 %","-11 %"
66,98,-32,"Arequipa","Perú","8,496.0","-11 %","-12 %"
38,99,-61,"Zamora Chinchipe","Ecuador","716.0","-10 %","-17 %"
62,100,-38,"Lima","Perú","161,220.0","-10 %","-14 %"
63,101,-38,"Piura","Perú","18,394.0","-10 %","-14 %"
70,102,-32,"Maule","Chile","6,700.0","-9 %","-10 %"
67,103,-36,"Tarapacá","Chile","6,867.0","-9 %","-11 %"
92,104,-12,"Antioquia","Colombia","8,455.0","-9 %","-1 %"
74,105,-31,"Distrito Capital","Colombia","42,347.0","-9 %","-8 %"
114,106,8,"La Guajira","Colombia","845.0","-9 %","2 %"
88,107,-19,"Loja","Ecuador","1,297.0","-9 %","-3 %"
72,108,-36,"Santa Ana","El Salvador","626.0","-9 %","-9 %"
68,109,-41,"Carchi","Ecuador","422.0","-8 %","-11 %"
75,110,-35,"Sonsonate","El Salvador","485.0","-8 %","-8 %"
77,111,-34,"Antofagasta","Chile","11,077.0","-7 %","-7 %"
84,112,-28,"Valle del Cauca","Colombia","13,956.0","-7 %","-5 %"
76,113,-37,"San Martín","Perú","6,433.0","-7 %","-8 %"
81,114,-33,"Cochabamba","Bolivia","4,635.0","-6 %","-5 %"
85,115,-30,"Pichincha","Ecuador","10,414.0","-5 %","-5 %"
71,116,-45,"Callao","Perú","18,921.0","-5 %","-10 %"
86,117,-31,"Valle","Honduras","449.0","-4 %","-4 %"
132,118,14,"Aguascalientes","México","2,829.0","-4 %","6 %"
79,119,-40,"Azuay","Ecuador","2,231.0","-3 %","-6 %"
169,120,49,"Sonora","México","10,421.0","-3 %","44 %"
64,121,-57,"Santa Fe","Argentina","485.0","-2 %","-13 %"
121,122,-1,"Cajamarca","Perú","3,216.0","-2 %","2 %"
78,123,-45,"Coquimbo","Chile","3,779.0","-1 %","-7 %"
83,124,-41,"O’ Higgins","Chile","7,761.0","-1 %","-5 %"
153,125,28,"Imbabura","Ecuador","856.0","-1 %","20 %"
135,126,9,"Napo","Ecuador","726.0","-1 %","9 %"
98,127,-29,"Cusco","Perú","2,125.0","-1 %","0 %"
44,128,-84,"La Paz","Bolivia","5,376.0","0 %","-14 %"
96,129,-33,"Mato Grosso del Sur","Brasil","11,063.0","0 %","0 %"
115,130,-15,"Sucre","Colombia","2,273.0","0 %","2 %"
97,131,-34,"Cuscatlán","El Salvador","283.0","0 %","0 %"
99,132,-33,"Distrito Nacional","República Dominicana","3,828.0","0 %","0 %"
100,133,-33,"Duarte","República Dominicana","774.0","0 %","0 %"
101,134,-33,"Espaillat","República Dominicana","529.0","0 %","0 %"
102,135,-33,"La Altagracia","República Dominicana","262.0","0 %","0 %"
103,136,-33,"La Romana","República Dominicana","447.0","0 %","0 %"
104,137,-33,"La Vega","República Dominicana","858.0","0 %","0 %"
105,138,-33,"Monseñor Nouel","República Dominicana","324.0","0 %","0 %"
106,139,-33,"Puerto Plata","República Dominicana","343.0","0 %","0 %"
107,140,-33,"San Cristóbal","República Dominicana","805.0","0 %","0 %"
108,141,-33,"Santiago","República Dominicana","1,352.0","0 %","0 %"
109,142,-33,"Santo Domingo","República Dominicana","3,698.0","0 %","0 %"
89,143,-54,"Santo Domingo de los Tsáchilas","Ecuador","2,533.0","2 %","-2 %"
87,144,-57,"Tolima","Colombia","1,426.0","3 %","-3 %"
123,145,-22,"Alajuela","Costa Rica","1,484.0","3 %","3 %"
165,146,19,"Guerrero","México","6,734.0","4 %","37 %"
133,147,-14,"Amazonas","Perú","3,238.0","4 %","6 %"
91,148,-57,"Ica","Perú","9,140.0","4 %","-2 %"
94,149,-55,"Junín","Perú","4,890.0","5 %","-1 %"
125,150,-25,"Lambayeque","Perú","14,818.0","6 %","3 %"
112,151,-39,"Puno","Perú","1,135.0","6 %","1 %"
168,152,16,"Baja California Sur","México","2,109.0","7 %","42 %"
146,153,-7,"Boyacá","Colombia","460.0","9 %","14 %"
147,154,-7,"Magdalena","Colombia","2,543.0","10 %","14 %"
122,155,-33,"Nariño","Colombia","4,418.0","10 %","3 %"
140,156,-16,"Guanacaste","Costa Rica","413.0","11 %","11 %"
148,157,-9,"Huancavelica","Perú","1,057.0","11 %","14 %"
137,158,-21,"Madre de Dios","Perú","2,372.0","12 %","9 %"
143,159,-16,"La Libertad","Perú","11,629.0","16 %","12 %"
151,160,-9,"Puntarenas","Costa Rica","339.0","19 %","19 %"
139,161,-22,"Guayas","Ecuador","16,453.0","21 %","10 %"
152,162,-10,"Mendoza","Argentina","263.0","23 %","20 %"
159,163,-4,"Risaralda","Colombia","716.0","25 %","26 %"
149,164,-15,"Apurímac","Perú","620.0","25 %","16 %"
167,165,2,"Moquegua","Perú","1,254.0","26 %","40 %"
157,166,-9,"Caldas","Colombia","289.0","30 %","25 %"
161,167,-6,"Bolívar","Ecuador","828.0","31 %","31 %"
155,168,-13,"Santa Elena","Ecuador","986.0","33 %","21 %"
177,169,8,"Cauca","Colombia","710.0","35 %","67 %"
160,170,-10,"Amazonas","Colombia","2,406.0","38 %","29 %"
166,171,-5,"Áncash","Perú","9,286.0","42 %","40 %"
174,172,2,"Santander","Colombia","1,159.0","44 %","53 %"
164,173,-9,"Jujuy","Argentina","421.0","49 %","36 %"
172,174,-2,"Heredia","Costa Rica","717.0","50 %","50 %"
173,175,-2,"Loreto","Perú","9,727.0","50 %","51 %"
170,176,-6,"Chocó","Colombia","2,126.0","51 %","47 %"
181,177,4,"Baja California","México","10,429.0","53 %","82 %"
176,178,-2,"Huánuco","Perú","3,493.0","63 %","66 %"
179,179,0,"Ayacucho","Perú","2,178.0","72 %","75 %"
175,180,-5,"Tumbes","Perú","3,309.0","75 %","65 %"
178,181,-3,"Chimborazo","Ecuador","959.0","76 %","72 %"
180,182,-2,"San José","Costa Rica","3,604.0","80 %","80 %"
182,183,-1,"Pastaza","Ecuador","962.0","92 %","91 %"
185,184,1,"Morona Santiago","Ecuador","1,244.0","94 %","96 %"
188,185,3,"Cartago","Costa Rica","278.0","101 %","101 %"
187,186,1,"Los Ríos","Ecuador","2,571.0","103 %","99 %"
183,187,-4,"Pasco","Perú","1,280.0","103 %","93 %"
186,188,-2,"Norte de Santander","Colombia","434.0","107 %","99 %"
189,189,0,"Ucayali","Perú","8,558.0","130 %","129 %"
190,190,0,"Cañar","Ecuador","595.0","158 %","145 %"
191,191,0,"Estado de México","México","39,108.0","173 %","196 %"
192,192,0,"Manabí","Ecuador","5,056.0","212 %","206 %"
193,193,0,"Tacna","Perú","1,223.0","213 %","210 %"
194,194,0,"Cesar","Colombia","1,382.0","225 %","212 %"
195,195,0,"Esmeraldas","Ecuador","2,518.0","375 %","361 %"
